nombreDistrito,poblacion
Carabanchel,262339
Fuencarral-El Pardo,248443
Latina,241672
Ciudad Lineal,220345
Hortaleza,198391
San Blas-Canillejas,161219
Tetuán,160002
Villaverde,159038
Arganzuela,153304
Salamanca,145702
Chamartín,144796
Usera,142746
Centro,139687
Chamberí,138204
Moncloa-Aravaca,121757
Retiro,117918
Villa de Vallecas,117501
Moratalaz,92814
Vicálvaro,83804
Barajas,50539
